,1,2
80,Crohn's disease,"extreme tiredness (fatigue),unintended weight loss,blood and mucus in your faeces (stools),a high temperature (fever) of 38C (100F) or above,feeling sick (nausea),being sick (vomiting),inflammation and irritation of the eyes (uveitis),areas of painful, red and swollen skin – most often the legs,mouth ulcers,persistent diarrhoea,persistent abdominal pain,unexplained weight loss,blood in your stools"
81,Croup,"a bark-like cough,a hoarse or croaky voice,difficulty breathing,a harsh grating sound when breathing in, called stridor,sore throat ,runny nose,high temperature (fever),severe breathing difficulties,an increased breathing rate (they're too breathless to feed or talk) or 'silent chest' (you're unable to hear sounds of breathing),a worsening cough or rasping sound (stridor),distress and agitation,dark, blue-tinged or pale skin,the skin around their ribs and chest appears to be pulled in and tight, making the bones of their chest and ribs more visible,abnormal drowsiness and sleepiness,a rapid heartbeat or a falling heart rate,a very high temperature,an inability to drink fluids"
82,Cystic fibrosis,"a serious bowel obstruction in the first few days of life (meconium ileus) – this will often need an operation to remove the blockage,jaundice,sinusitis,nasal polyps,difficulty conceiving children – most men with cystic fibrosis are unable to have children naturally (although some fertility treatments may still work) because the tubes that carry sperm don't develop correctly; women can become pregnant, however,liver problems caused by the tiny bile ducts in the liver becoming blocked by mucus"
83,Cystitis,"pain, burning or stinging when you pee,needing to pee more often and urgently than normal,feeling like you need to pee again soon after going to the toilet,urine that's dark, cloudy or strong-smelling,pain low down in your tummy,feeling generally unwell, achy, sick and tired,blood in your urine,a high temperature (fever) of 38C (100.4F) or above,weakness and tiredness,irritability ,reduced appetite,vomiting"
84,Deafblindness,"not hearing you if you speak to them from behind,needing to turn up the volume on the television or radio,difficulty following a conversation – particularly if several people are speaking or the person they're speaking to is unfamiliar,not hearing noises around them, such as a knock at the door or the doorbell ringing,asking others to speak loudly, slowly and more clearly,leaning in very close to hear what's being said,problems seeing in low light or bright light,difficulty recognising people they know,finding it hard to read facial expressions,relying on touch to find and identify items more than usual,needing to hold books or newspapers close to their face, or sitting near the television,difficulty moving around unfamiliar places – they may bump into or trip over things regularly,not looking directly at you or making proper eye contact"
85,Deep vein thrombosis,"you're having an operation that takes longer than 90 minutes, or 60 minutes if the operation is on your leg, hip or abdomen,you're confined to a bed, unable to walk, or spending a large part of the day in a bed or chair for at least three days,infectious conditions, such as hepatitis,thrombophilia – a genetic condition where your blood has an increased tendency to clot,antiphospholipid syndrome – an immune system disorder that causes an increased risk of blood clots ,being over 35 years old,expecting 2 or more babies,having recently had a caesarean section,being immobile for long periods of time,dehydration,you're overweight or obese,you smoke,you're dehydrated,you're over 60 – particularly if you have a condition that restricts your mobility"
86,Dehydration,"dizziness or light-headedness,tiredness,passing small amounts of urine infrequently (less than three or four times a day),feeling unusually tired (lethargic) or confused, and you think you may be dehydrated,dizziness when you stand up that doesn't go away after a few seconds,not passing urine for eight hours,a weak pulse,a rapid pulse,fits (seizures),a low level of conciousness,a sunken soft spot (fontanelle) on their head,few or no tears when they cry,a dry mouth,fewer wet nappies,dark yellow urine,drowsiness,fast breathing,cold and blotchy-looking hands and feet"
87,Dementia with Lewy bodies,"thinking speed,language,understanding,judgement,memory (although significant memory loss may not occur until later on),extreme swings between alertness and confusion or drowsiness, which may happen unexpectedly and change from hour to hour or day to day,seeing or hearing things that aren't real (hallucinations), which can range from pleasant to distressing,sleep disturbances, which can cause talking in your sleep or acting out dreams,loss of facial expression"
88,Dental abscess,"an intense, throbbing pain in the affected tooth or gum that may come on suddenly and gets gradually worse,pain that spreads to your ear, jaw and neck on the same side as the affected tooth or gum,pain that's worse when lying down, which may disturb your sleep,redness and swelling in your face,a tender, discoloured and/or loose tooth,shiny, red and swollen gums,sensitivity to hot or cold food and drink,bad breath and/or an unpleasant taste in your mouth,your registered dentist – if it's out of hours, they should have an answerphone message with details of how to access out-of-hours dental treatment,NHS 24 '111' service – who can give you details of dental services in your area,your local clinical commissioning group (CCG) – who can tell you the phone number of your local dental access helpline,your local accident and emergency (A&E) department – if there are no other options or you're having difficulty breathing,avoid hot or cold food and drink if it makes the pain worse,try eating cool, soft foods if possible, using the opposite side of your mouth,use a soft toothbrush and temporarily avoid flossing around the affected tooth,removing the affected tooth (extraction) – this may be necessary if root canal treatment isn't possible,root canal treatment – a procedure to remove the abscess from the root of an affected tooth before filling and sealing it,incision and drainage – where a small cut (incision) is made in the gum to drain the abscess (this is usually only a temporary solution and further treatment may be needed),poor oral hygiene – plaque can build-up on your teeth if you don't floss and brush your teeth regularly,consuming lots of sugary or starchy food and drink – these can encourage the growth of bacteria in plaque and may lead to decay that can result in an abscess,an injury or previous surgery to your teeth or gums – bacteria can get into any damaged parts of the teeth or gums,use floss or an interdental brush at least once a day to clean between your teeth and under the gum line,brush your teeth with a fluoride toothpaste twice a day – spending at least two minutes each time,avoid rinsing your mouth with water or mouthwash after brushing because this washes the protective toothpaste away – just spit out any excess toothpaste,cut down on sugary and starchy food and drinks – particularly between meals or shortly before going to bed,visit your dentist regularly – your dentist can suggest how often you should have a check-up, based on your oral health "
89,Depression,"mild depression – it has some impact on daily life,moderate depression – it has a significant impact on your daily life,severe depression – this makes it nearly impossible to get through your life day to day,continuous sadness or low mood,losing interest in things,losing motivation,not getting any enjoyment in life,feeling tearful,feeling guilty,feeling irritable,finding it hard to make decisions,feeling intolerant of other people,feeling helpless,feeling hopeless,low self-esteem,thinking about harming yourself,speaking or moving slower than usual,aches and pains that can't be explained,losing, or sometimes gaining, appetite or weight,constipation,loss of interest in sex,disturbed sleep (having trouble falling asleep, for example, or waking up very early),loss of energy,changes in your menstrual cycle (the time of the month when you get your period),avoiding talking to or spending time with your friends,taking part in fewer social activities,neglecting interests and hobbies,doing poorly at work,difficulties with your family or home life,Stressful events – big changes in your life, like bereavement, the end of a relationship or the loss of a job, can be difficult to deal with. When these things happen, it's important to keep seeing friends and family instead of trying to deal with problems alone – this increases your risk of developing depression.,Giving birth – pregnancy and birth can make some people vulnerable to depression. Postnatal depression can happen as the result of physical changes, hormonal changes, and the responsibility of taking care of a new baby.,Loneliness – your risk of depression gets higher if you aren't in contact or spending time with family and friends.,Personality – some personality traits can put you at a higher risk of developing depression. These include low-self esteem or a habit of criticising yourself too much. These personality traits can come from your genes, which you get from your parents, or they can be as a result of experiences in your early life.,Family history – it's more likely for someone to develop depression if a family member, like a sibling or parent, has experienced it before."
90,Dermatitis herpetiformis,"red, raised patches often with blisters that burst with scratching,severe itching and often stinging,elbows,knees,buttocks,diarrhoea,constipation,stomach pain,bloating,Sulphapyridine,Sulphamethoxypyridazine,osteoporosis,certain kinds of gut cancer"
91,Diabetes,"pain or severe discomfort in your eye,redness of the white of your eye,constantly blurred vision, sometimes with rainbow halos around lights,no retinopathy,background retinopathy – also called stage one retinopathy,degrees of referable retinopathy – this means retinopathy that requires referral to an eye specialist for further assessment and treatment,the photographs are not clear enough to give an accurate result,you have retinopathy that could affect your sight and follow-up treatment is needed,you have retinopathy that needs to be checked more than once a year,other eye conditions are detected, such as glaucoma (a group of eye conditions that affect vision) or cataracts (cloudy patches in the lens of the eye)"
92,Diabetic retinopathy,"your sight isn't affected, although you're at a higher risk of developing vision problems in the future,the chances of it progressing to the stages below within three years is over 25% if both of your eyes are affected,there's a high risk that your vision could eventually be affected,you'll usually be advised to have more frequent screening appointments every three or six months to monitor your eyes,there's a very high risk you could lose your vision,treatment will be offered to stabilise your vision as much as possible, although it won't be possible to restore any vision you've lost,there's a high risk that your vision could eventually be affected,you may be advised to have more frequent specialised testing to monitor your eyes,you may be referred to a hospital specialist to discuss treatments that can help stop the problem getting worse"
93,Diarrhoea,"stomach cramps,nausea and vomiting,headache,loss of appetite,irritability or drowsiness,passing urine infrequently,pale or mottled skin,cold hands and feet,they look or feel increasingly unwell,tiredness and a lack of energy,loss of appetite,nausea,feeling lightheaded,dizziness,dry tongue,sunken eyes,muscle cramps,rapid heartbeat,had 6 or more episodes of diarrhoea in the past 24 hours,diarrhoea and vomiting at the same time,watery poo,blood in their poo,a severe or continuous stomach ache,symptoms of dehydration,there is blood in your poo,you are vomiting persistently,you've lost a lot of weight,you have passed a large amount of very watery diarrhoea,it occurs at night and is disturbing your sleep,you have symptoms of dehydration,your poo is dark or black – this may be a sign of bleeding inside your stomach"
94,Discoid eczema,"lower legs,forearms,trunk (torso),hands,feet,the patches oozing a lot of fluid,a yellow crust developing over the patches,the skin around the patches becoming red, hot, swollen, and tender or painful,feeling sick,chills,a general sense of feeling unwell"
95,Diverticular disease and diverticulitis,"bloating,a high temperature (fever) of 38C (100.4F) or above,a general feeling of being tired and unwell,pancreatitis,cholecystitis,bowel cancer"
96,Dizziness (Lightheadedness),"whether the dizziness started for no apparent reason, or if it followed an illness,whether you have repeated episodes of dizziness and, if so, when you tend to experience these,how long the dizziness lasts,what you were doing at the time of your dizziness,how long it lasted and how bad it was,Vertebrobasilar insufficiency – decreased blood flow in the back of the brain, which may be caused by the blood vessels that lead to the brain from the heart being blocked (known as atherosclerosis).,having a severe illness or condition that affects the whole body,carbon monoxide poisoning"
97,Down's syndrome,"reduced muscle tone that results in floppiness (hypotonia),a small nose and flat nasal bridge,a small mouth with a protruding tongue,eyes that slant upwards and outwards,a flat back of the head,a big space between the first and second toe (sandal gap),broad hands with short fingers,their palm may have only one crease across it (single transverse palmar crease),below-average weight and length at birth,reaching,sitting,standing,walking,talking"
98,Dry mouth,"a blocked nose – breathing through your mouth while you sleep can cause it to dry out,a burning sensation or soreness in your mouth,dry lips,bad breath (halitosis),a decreased or altered sense of taste,difficulty speaking, eating or swallowing,increase your fluid intake – take regular sips of cold water or an unsweetened drink,suck on sugar-free sweets or chew sugar-free gum – this can stimulate your salivary glands to produce more saliva,suck on ice cubes – the ice will melt slowly and moisten your mouth,avoid alcohol (including alcohol-based mouthwashes), caffeine and smoking – these can all make a dry mouth worse"
99,Dysphagia (swallowing problems),"brain tumours,myasthenia gravis – a rare condition that causes your muscles to become weak,learning disabilities – where learning, understanding, and communicating are difficult,cerebral palsy – a group of neurological conditions that affect movement and co-ordination,a cleft lip and palate – a common birth defect that results in a gap or split in the upper lip or roof of the mouth,pharyngeal (throat) pouches, also known as Zenker diverticulum – where a large sac develops in the upper part of the oesophagus, which reduces the ability to swallow both liquids and solids; it's a rare condition that mainly affects older people,eosinophilic oesophagitis – where a type of white blood cell known as an eosinophil builds up in the lining of the oesophagus as the result of a reaction to foods, allergens, or acid reflux; the build-up damages the lining of the oesophagus and causes swallowing difficulties,scleroderma – where the immune system (the body's natural defence system) attacks healthy tissue, leading to a stiffening of the throat and oesophagus muscles,achalasia – where muscles in the oesophagus lose their ability to relax and open to allow food or liquid to enter the stomach"
100,Dystonia,"muscle spasms,having an abnormal, twisted posture,a foot, leg or arm turning inwards,body parts jerking rapidly,fatigue,alcohol,coffee,sudden movement,musician’s cramp,golfer’s cramp,typist’s cramp"
101,Earache,"there is something stuck in your or your child's ear,the earache doesn't improve within a few days"
102,Earwax build-up,"producing naturally hard or dry earwax,having narrow or hairy ear canals (the tube between the opening of the ear and the eardrum),being elderly, as earwax becomes drier with age,bony growths in the outer part of the ear canal,earache,hearing loss,ear infections,eardrops – drops used several times a day for a few days to soften the earwax so that it falls out by itself,ear irrigation – a quick and painless procedure where an electric pump is used to push water into your ear and wash the earwax out,microsuction – a quick and painless procedure where a small device is used to suck the earwax out of your ear,aural toilet – where a thin instrument with a small hoop at one end is used to clean your ear and scrape out the earwax"
103,Ebola virus disease,"a high temperature (fever),joint and muscle pain,severe muscle weakness,directly touching the body of someone with the infection who has symptoms or recently died – the virus can survive for several days outside the body,cleaning up body fluids (blood, stools, urine or vomit) or touching the soiled clothing of an infected person,handling unsterilised needles or medical equipment used in the care of the infected person,having sex with an infected person without using a condom – studies show traces of Ebola may remain in a man's semen many months after he has recovered,handling or eating raw or undercooked ""bushmeat"",wash your hands frequently using soap and water – use alcohol hand rubs when soap isn't available,make sure fruit and vegetables are properly washed and peeled before you eat them,avoid physical contact with anyone who has possible symptoms of an infection,don't handle dead animals or their raw meat,don't eat ""bushmeat"""
104,Ectopic pregnancy,"pain low down and on one side of your abdomen,bleeding from your vagina,pain in the tip of your shoulder,discomfort when going to the toilet,a brown watery discharge from your vagina,other more general symptoms such as pale skin and sweating,missed a period,some of the early signs of being pregnant, such as feeling tired or having sore breasts,during an operation,by taking a medicine prescribed by your doctor"
105,Endometriosis,"less common in women of African-Caribbean origin,more common in Asian women than in white women"
106,Epilepsy,"partial (or focal) seizures – where only a small part of the brain is affected,generalised seizures – where most or all of the brain is affected,a general strange feeling that is hard to describe,a ""rising"" feeling in your tummy – sometimes likened to the sensation in your stomach when on a fairground ride,an intense feeling that events have happened before (déjà vu),experiencing an unusual smell or taste,a tingling sensation, or ""pins and needles"", in your arms and legs,a sudden intense feeling of fear or joy,stiffness or twitching in part of the body, such as an arm or hand,smacking your lips,rubbing your hands,making random noises,moving your arms around,picking at clothes,fiddling with objects,adopting an unusual posture,chewing or swallowing,protect them from injury by removing any dangerous or potentially harmful objects nearby, and cushioning their head with your hands or soft material,do not restrain them or attempt to move them (unless they are in immediate danger) and don't put anything in their mouth,stay calm, and stay with them until they regain consciousness,protect them from injury by removing any dangerous or potentially harmful objects nearby, and cushioning their head with your hands or soft material,only attempt to move them if they are in immediate danger,stay with them and comfort them until they have fully recovered,the seizure has not stopped after five minutes,the person has more than one seizure without recovering in between,you know it is the person's first seizure,the person is injured, has breathing problems, or needs emergency medical attention for any other reason,the person’s behaviour after a seizure is unsafe,a medication called diazepam that is placed in the person's rectum,a medication called buccal midazolam that  comes in liquid form and is given by trickling the liquid onto the inside of the person's cheek"
107,Escherichia coli (E. coli) O157,"Eating contaminated food (such as raw leafy vegetables or undercooked meat). Always wash all vegetables (including salad leaves) that will be eaten raw, unless they have been pre-prepared and are labelled ‘ready to eat’. Washing may reduce the risk of infection, but will not eliminate any risk of infection completely. ,Touching infected animals or accidentally coming into contact with their faeces.,Contact with people who have the illness, particularly if you do not wash your hands thoroughly after using the toilet or before handling food.,Drinking water from inadequately treated water supplies.,Swimming or playing in contaminated water, such as ponds or streams.,Wash your hands thoroughly with soap in running water and dry them completely. Use liquid soap and warm water if you can.,Everyone must wash their hands after contact with an infected person, particularly after handling their clothes or bedding.,Always wash hands after going to the toilet or changing babies’ nappies, and before preparing or serving food or eating meals. Anyone who has been infected should avoid cooking or preparing food until 48 hours after their symptoms have cleared up.,Do not share towels or nappy changing mats.,Wash soiled clothing and bed linen separately from other clothes in a washing machine at the highest temperature possible (e.g. 60°C).,Wipe down the outside of the washing machine with hot water and detergent after any heavily soiled load. After handling soiled bedclothes or clothing, wash your hands thoroughly.,Clean toilet seats, toilet flush handles, basin taps, surfaces and toilet door handles at least daily, preferably more often, using hot water and detergent.,Disinfection sprays and wipes or alcohol-based wipes may be used on toilet seats and other surfaces, but only after any visible soiling has been removed.,Thick household bleach is highly effective. Dilute one part bleach to every 10 parts water for soiled surfaces and one part bleach to every 100 parts water for other hard surfaces. Ideally, use heavy-duty domestic rubber gloves and disposable cloths for cleaning.,Dispose of cloths by placing them in a plastic bag, sealing the neck and placing in household waste. Thoroughly wash rubber gloves in hot water and detergent after use, then rinse and allow to dry. Do not clean soiled items in the kitchen.,Deal with any spillage of faeces immediately. Clean the soiled area with hot water and detergent using heavy-duty domestic rubber gloves. Clean gloves (as above) and wash hands thoroughly.,If you work in health or social care, or your work involves handling food, you should ask your local authority environmental health officers about when it is safe to return to work. This advice applies to both people who have been infected and those who live in the same household as someone who has.,If you have a child under five years of age who has had E. coli, or lives with someone who has, you should talk to your GP about when it is safe for your child to return to school or nursery.,Children under five years of age who have had an E. coli O157 infection should not swim in public swimming pools, or share paddling pools with others, until they have had test results showing that they are no longer an infection risk to others."
108,Ewing sarcoma,"pelvis bone (hips),thigh bone (femur),shin bone (tibia),the size of the tumour,where it is in your body,whether it has grown into the tissues surrounding the bone"
109,Ewing sarcoma: Children,"replacing the bone with a prosthesis (a specially designed artificial part),replacing the bone with bone taken from another part of the body (a bone graft),feeling sick (nausea) and being sick (vomiting),hair loss,increased risk of infection,bruising and bleeding,tiredness,diarrhoea"
110,Eye cancer,"eye melanoma,squamous cell carcinoma,lymphoma,shadows, flashes of light, or wiggly lines in your vision,blurred vision,a dark patch in your eye that's getting bigger,partial or total loss of vision,bulging of one eye,a lump on your eyelid or in your eye that's increasing in size,pain in or around your eye, although this is rare,lighter eye colour – if you have blue, grey or green eyes, you have a higher risk of developing eye melanoma compared with people who have brown eyes,white or pale skin – eye melanoma mostly affects white people and is more common in those with fair skin,use of sunbeds – there's some evidence to suggest that exposing yourself to ultraviolet (UV) radiation from sunbeds, for example, can increase your risk of eye melanoma,overexposure to sunlight – this increases your risk of skin cancer, and may also be a risk factor for eye melanoma,an eye examination – to look at the structures of your eyes in more detail and check for abnormalities,a fluorescein angiogram – where photographs of the suspected cancer are taken using a special camera after dye has been injected into your bloodstream to highlight the tumour,brachytherapy – tiny plates lined with radioactive material called plaques are inserted near the tumour and left in place for up to a week to kill the cancerous cells,surgery to remove the tumour or part of the eye – this may be possible if the tumour is small and you still have some vision in your eye,removal of the eye (enucleation) – this may be necessary if the tumour is large or you've lost your vision; the eye will eventually be replaced with an artificial eye that matches your other eye,about 8 out of every 10 people (80%) diagnosed with a small eye melanoma will live for at least five years after diagnosis,about 7 out of every 10 people (70%) diagnosed with a medium-sized eye melanoma will live for at least five years after diagnosis,about 5 out of every 10 people (50%) diagnosed with a large eye melanoma will live for at least five years after diagnosis"
111,Febrile seizures,"your child’s body will become stiff and their arms and legs will begin to twitch,they'll lose consciousness and they may wet or soil themselves,they may also vomit and foam at the mouth and their eyes may roll back,the seizure usually lasts for less than five minutes,following the seizure, your child may be sleepy for up to an hour afterwards,your child is having a fit for the first time,the seizure lasts longer than five minutes and shows no signs of stopping,your child is having breathing difficulties,sunken eyes,a lack of tears when crying,a sunken fontanelle – the soft spot usually found at the top of a young child’s head"
112,Fever in children,"upper respiratory tract infections (RTIs),flu,ear infections,roseola – a virus that causes a temperature and a rash ,tonsillitis,is under three months old and has a temperature of 38C (101F) or above,is between three and six months old and has a temperature of 39C (102F) or above"
113,Fibroids,"an abdominal ultrasound scan – where the ultrasound probe is moved over the outside of your tummy (abdomen),a transvaginal ultrasound scan – where a small ultrasound probe is inserted into your vagina"
114,Fibromyalgia,"your stress levels,changes in the weather,how physically active you are,an ache,a burning sensation,a sharp, stabbing pain,hyperalgesia – when you're extremely sensitive to pain,allodynia – when you feel pain from something that shouldn't be painful at all, such as a very light touch,trouble remembering and learning new things,problems with attention and concentration,slowed or confused speech,dizziness and clumsiness,feeling too hot or too cold – this is because you're not able to regulate your body temperature properly,tingling, numbness, prickling or burning sensations in your hands and feet (pins and needles, also known as paraesthesia),in women, unusually painful periods,anxiety ,constantly feeling low,feeling hopeless and helpless,losing interest in the things you usually enjoy"
115,Flatulence,"chewing gum,smoking,sucking on pen tops or hard sweets,having loose-fitting dentures,not chewing food slowly and thoroughly – swallowing large pieces of food causes you to swallow more air,beans,broccoli,cabbage,cauliflower,artichokes,raisins,pulses,lentils,onions,prunes,apples,Brussels sprouts,indigestion,malabsorption – where the intestines are unable to absorb nutrients properly,giardiasis – an infection of the digestive system caused by tiny parasites,antifungal medicines,statins,varenicline (Champix) – used to help people stop smoking"
116,Flu,"a sudden fever – a temperature of 38C (100.4F) or above,tiredness and weakness,chills,aching muscles,limb or joint pain,nausea and vomiting,a runny or blocked nose,sneezing,loss of appetite,difficulty sleeping,come on quickly,usually include fever and aching muscles,make you feel too unwell to continue your usual activities,come on gradually,mainly affect your nose and throat,are fairly mild, so you can still get around and are usually well enough to go to work,you're 65 years of age or over,you're pregnant,your symptoms are getting worse over time or haven't improved after a week"
117,Foetal alcohol syndrome,"poor growth while in the womb and after birth, so the baby is shorter and smaller than average, sometimes with deformed limbs ,small head and jaw,distinctive facial features, especially: small eyes set far apart, a thin upper lip, a smooth philtrum (ridge that runs below the nose to the top lip)  ,cerebral palsy – a problem in the parts of the brain responsible for controlling muscles, which affects movement and co-ordination,learning disorders – problems with thinking, speech, social skills and/or memory (for example, finding it difficult to translate thinking into saying, or reading into speaking) ,problems with the liver, kidneys, heart or other organs,hearing and sight problems,epilepsy ,a weak immune system"
118,Food poisoning,"not cooking food thoroughly (particularly meat),not correctly storing food that needs to be chilled at below 5C,keeping cooked food unrefrigerated for a long period,cross-contamination (where harmful bacteria are spread between food, surfaces and equipment),giardiasis – an infection caused by a parasite called Giardia intestinalis,cryptosporidiosis – an infection caused by a parasite called Cryptosporidium,ameobiasis – a type of dysentery caused by a single-cell parasite (ameoba) called Entamoeba histolytica (this is very rare in the UK)"
119,Fungal nail infection,"keep your hands and feet clean and dry,wear well-fitting shoes made of natural materials and clean cotton socks – these will allow your feet to ""breathe"",clip your nails to keep them short – use a separate pair of clippers or scissors for the infected nail,don't share towels and socks with other people, and ensure your towels are washed regularly,don't walk around barefoot in public pools, showers, and locker rooms – special shower shoes are available to protect your feet,consider replacing old footwear as it could be the source of the infection,treat athlete's foot as soon as possible to avoid the infection spreading to your nails,wash the affected area and dry it thoroughly,carefully apply the paste to the infected nails,cover the nails with plasters and leave them for 24 hours,wash the paste off the next day and scrape away the softened parts of the nail,repeat this process each day for 2 to 3 weeks"
120,Gallbladder cancer,"abdominal (stomach) pain,feeling sick,jaundice (yellowing of the skin and whites of the eyes),blood tests,an endoscopic retrograde cholangiopancreatography (ERCP),a magnetic resonance cholangiopancreatography (MRCP),the type of gallbladder cancer you have,the stage of your cancer,your overall level of health"
121,Gallstones,"in the centre of your abdomen (tummy),just under the ribs on your right-hand side – it may spread from here to your side or shoulder blade,a high temperature of 38C (100.4F) or above,more persistent pain,a rapid heartbeat,yellowing of the skin and whites of the eyes (jaundice),itchy skin,diarrhoea,chills or shivering attacks,confusion,a loss of appetite,jaundice,abdominal pain lasting longer than eight hours,a high temperature and chills,abdominal pain so intense that you can't find a position to relieve it"
122,Ganglion cyst,"draining fluid out of the cyst with a needle and syringe – the medical term for this is aspiration,cutting the cyst out using surgery,open surgery – where the surgeon makes a medium-sized cut, usually about 5cm (2 inches) long, over the site of the affected joint or tendon"
123,Gastro-oesophageal reflux disease (GORD),"a sore, inflamed oesophagus (oesophagitis),bad breath,bloating and belching,feeling or being sick,pain when swallowing "
124,Gastroenteritis,"feeling sick,vomiting, which can be projectile,a mild fever,Get plenty of rest.,If you feel like eating, try small amounts of plain foods, such as soup, rice, pasta and bread.,Take anti-vomiting medication (such as metoclopramide) and/or antidiarrhoeal medication (such as loperamide) if you need to – some types are available from pharmacies, but check the leaflet that comes with the medicine. You can also ask your pharmacist or GP for advice about whether they're suitable. ,you have bloody diarrhoea,you're vomiting constantly and are unable to keep down any fluids,you have a fever over 38C (100.4F),your symptoms haven't started to improve after a few days,in the last few weeks you've returned from a part of the world with poor sanitation,Encourage them to drink plenty of fluids. They need to replace the fluids lost from vomiting and diarrhoea. Water is generally best. Avoid giving them fizzy drinks or fruit juice, as they can make their diarrhoea worse. Babies should continue to feed as usual, either with breast milk or other milk feeds.,Make sure they get plenty of rest.,Let your child eat if they're eating solids and feel hungry. Try small amounts of plain foods, such as soup, rice, pasta and bread.,Use special rehydration drinks made from sachets bought from pharmacies if they're dehydrated. Your GP or pharmacist can advise on how much to give your child. Don't give them antidiarrhoeal and anti-vomiting medication, unless advised to by your GP or pharmacist.,have blood in their poo or green vomit,are vomiting constantly and are unable to keep down any fluids or feeds,have had diarrhoea for more than a week,have been vomiting for three days or more,have a serious underlying condition, such as inflammatory bowel disease or a weak immune system, and have diarrhoea and vomiting,close contact with someone with gastroenteritis – they may breathe out small particles of vomit,touching contaminated surfaces or objects,Stay off work, school or nursery until at least 48 hours after the symptoms have passed. You or your child should also avoid visiting anyone in hospital during this time.,Ensure you and your child wash your hands frequently and thoroughly with soap and water, particularly after using the toilet and before preparing food. Don't rely on alcohol hand gels, as they're not always effective.,Disinfect any surfaces or objects that could be contaminated. It's best to use a bleach-based household cleaner.,Wash contaminated items of clothing or bedding separately on a hot wash.,Don't share towels, flannels, cutlery or utensils while you or your child is ill.,Flush away any poo or vomit in the toilet or potty and clean the surrounding area."
125,Genital herpes,"blisters and ulcers on the cervix (lower part of the womb) in women,vaginal discharge in women,pain when you pass urine,a general feeling of being unwell, with aches, pains and flu-like symptoms,a tingling, burning or itching sensation around your genitals, and sometimes down your leg, before blisters appear ,painful red blisters that soon burst to leave sores around your genitals, rectum (back passage), thighs and buttocks,blisters and ulcers on the cervix (lower part of the womb) in women"
126,Genital warts,"around the vulva (the opening of the vagina),on the cervix (the neck of the womb),inside the vagina,around or inside the anus,on the upper thighs,anywhere on the penis,on the scrotum,inside the urethra (tube where urine comes out),around or inside the anus,on the upper thighs"
127,Germ cell tumours,"feeling sick (nausea) and being sick (vomiting),hair loss,increased risk of infection,bruising and bleeding,tiredness,diarrhoea"
128,Glandular fever,"a high temperature (fever),fatigue (extreme tiredness),a general sense of feeling unwell,aching muscles,chills,sweats,loss of appetite,pain around or behind your eyes,swollen tonsils and adenoids (small lumps of tissue at the back of the nose), which may affect your breathing,the inside of your throat to become very red and ooze fluid,small red or purple spots on the roof of your mouth,a rash,swelling or ""puffiness"" around your eyes,a tender or swollen tummy,jaundice (yellowing of the skin and whites of the eyes),develop a rasping breath (stridor) or have any breathing difficulties,find swallowing fluids difficult,develop intense abdominal pain"
129,Gout,"the joint feeling hot and very tender, to the point of being unable to bear anything touching it,swelling in and around the affected joint,red, shiny skin over the affected joint,peeling, itchy and flaky skin as the swelling goes down,toes – particularly the big toe joint,midfoot (where your shoelaces sit),ankles ,knees,fingers,wrists,elbows,occur at night, although they can happen at any time,develop quickly over a few hours,last between three and 10 days – after this time, the affected joint should start to return to normal, but the problem can persist if treatment isn't started early,come back – you may experience attacks every few months or years,become more frequent over time if not treated,severe, worsening joint pain and swelling,a high temperature (fever) of 38C (100.4F) or above"
130,Gum disease,"red and swollen gums,bleeding gums after brushing or flossing your teeth,bad breath (halitosis),an unpleasant taste in your mouth,loose teeth that can make eating difficult,bleeding, painful gums,painful ulcers,receding gums inbetween your teeth,bad breath,a metallic taste in your mouth,excess saliva in your mouth,difficulty swallowing or talking,a high temperature (fever)"
131,HIV,"fever (raised temperature),sore throat,body rash,tiredness,joint pain,muscle pain,swollen glands (nodes),weight loss,chronic diarrhoea,night sweats,skin problems,recurrent infections,serious life-threatening illnesses,Terrence Higgins Trust: Stages of HIV infection,National AIDS Trust: FAQs and Myths,nam aidsmap: HIV and AIDS"
132,Haemorrhoids (piles),"first degree – small swellings that develop on the inside lining of the anus and aren't visible from outside the anus,second degree – larger swellings that may come out of your anus when you go to the toilet, before disappearing inside again,third degree – one or more small soft lumps that hang down from the anus and can be pushed back inside (prolapsing and reducible),fourth degree – larger lumps that hang down from the anus and can't be pushed back inside (irreducible)"
133,Hairy cell leukaemia,"weight loss ,pale skin,weakness, tiredness and breathlessness (due to a lack of red blood cells),frequent infections (due to a lack of infection-fighting white blood cells),bleeding or bruising easily,pain or swelling in your abdomen (tummy) (see below),it's enlarged and is causing pain or discomfort,it's destroying large numbers of red blood cells or platelets,it hasn't shrunk after chemotherapy"
